NumFAD,lat,lon,AFADs,Tagged_SKJ_2017,Tagged_YFT_2017,Tagged_SKJ_2018,Tagged_YFT_2018
1,1.75,73.07,D,0,0,0,0
2,1.64,73.51,B,0,0,0,0
3,1.64,73.28,C,0,0,0,0
5,1.75,73.77,A,0,0,0,0
6,1.01,73.07,N,0,0,0,0
7,1.1,73.3,E,0,0,0,0
8,0.93,73.59,F,5,8,8,14
9,0.62,73.73,G,14,12,11,9
10,0.77,72.87,M,0,0,0,0
11,0.2,73.8,H,0,0,0,0
12,0.04,73.51,I,0,0,0,0
13,0.43,72.75,L,0,0,0,0
14,0.01,73.11,J,0,0,0,0
15,0.17,72.08,K,0,0,0,0
16,-0.51,73.47,P,0,0,0,0
17,-0.28,73.78,O,0,0,0,0
18,-0.35,73.19,U,0,0,10,10
19,-0.91,73.15,Q,0,0,0,0
20,-0.53,72.88,T,0,0,17,4
21,-0.74,73.46,S,0,0,0,0
22,-0.83,72.93,R,0,0,0,0
